,id,contaminant,average_result,max_result,health_limit_exceeded,legal_limit_exceeded,zipcode,locations_served,supplier_name,violation,date_of_violation,number_of_people_served,health_limit_flag,legal_limit_flag
10373,23565,Total haloacetic acids (HAAs),8.47 ppb,13 ppb,0.7 ppb,60 ppb,34797,"PAISLEY, FL",Country Squire Mobile Home Pk,"Failure to monitor, Routine Major (Coliform bacteria)",2004/10/01 - 2004/10/31,320,Yes,No
10374,23591,Barium (total),30 ppb,30 ppb,700 ppb,2000 ppb,34797,"MT DORA, FL",Baywood Condominiums,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,200,No,No
10375,23578,Arsenic (total),3.5 ppb,3.5 ppb,. Source,10 ppb,34797,"LADY LAKE, FL",Lady Lake Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/07/22,270,Yes,No
10376,23580,Ethylene dibromide (EDB),0.02 ppb,0.06 ppb,. Source,0.05 ppb,34797,"LEESBURG, FL",Raintree Harbor,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/07/24,265,Yes,Yes
10377,23584,Alpha particle activity (excl radon and uranium),0.32 pCi/L,1.6 pCi/L,. Source,15 pCi,34797,"LEESBURG, FL",Diamond Point,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/08/17,250,Yes,No
10378,23587,Total haloacetic acids (HAAs),16.73 ppb,26.2 ppb,0.7 ppb,60 ppb,34797,"LEESBURG, FL",Hickory Hollow Estates,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/04/01 - 2008/04/30,223,Yes,No
10379,23588,Total haloacetic acids (HAAs),4 ppb,6.3 ppb,0.7 ppb,60 ppb,34797,"LEESBURG, FL",Haines Creek Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/08/27,220,Yes,No
10380,23602,Lead (total),1.5 ppb,1.5 ppb,. Source,,34797,"CLERMONT, FL",Highlands Mobile Home Park,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/08/30,130,Yes,No
10381,23617,Barium (total),11 ppb,11 ppb,700 ppb,2000 ppb,34797,"MINNEOLA, FL",Hill The,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,90,No,No
10382,23623,Alpha particle activity (excl radon and uranium),1.5 pCi/L,2.6 pCi/L,. Source,15 pCi,34797,"MT DORA, FL",Forester Haven Ii,"Failure to monitor, Routine Major (Coliform bacteria)",2006/11/01 - 2006/11/30,64,Yes,No
10383,23626,Total haloacetic acids (HAAs),33.04 ppb,54 ppb,0.7 ppb,60 ppb,34797,"CLERMONT, FL",Torchlight Trailer Park,Monitoring and Reporting Disinfection Byproduct RuleTotal trihalomethanes (TTHMs),2006/07/01 - 2006/09/30,50,Yes,No
10384,23631,Total haloacetic acids (HAAs),5.7 ppb,9 ppb,0.7 ppb,60 ppb,34797,"TAVARES, FL",Floridian Gardens Resort and Spa Village,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,27,Yes,No
10385,23632,Nitrate,0.95 ppm,4.9 ppm,10 ppm,10 ppm,34797,"LEESBURG, FL",Ridgecrest Resort Community,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2025/12/31,25,No,No
10386,23633,Total haloacetic acids (HAAs),1.17 ppb,2.4 ppb,0.7 ppb,60 ppb,34797,"LADY LAKE, FL",Lakes of Lady Lake Executive Golf Course,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/04/01 - 2008/04/30,25,Yes,No
10387,23667,Dichloroacetic acid,7.77 ppb,13.25 ppb,. Source,60 ppb,50391,"CLIVE, IA",Clive Water Department,"Failure to monitor, Routine Major (Coliform bacteria)",2005/10/01 - 2005/10/31,14125,Yes,No
10388,23685,Dichloroacetic acid,6.45 ppb,11.5 ppb,. Source,60 ppb,50391,"PLEASANT HILL, IA",Pleasant Valley Mobile Home Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/09/01 - 2004/09/30,348,Yes,No
10389,23749,Bromoform,0.88 ppb,1.45 ppb,. Source,80 ppb,99103,"DAVENPORT, WA",Davenport Water Division,Follow-up and Routine Tap Sampling,2007/01/01 - 2007/12/31,1720,Yes,No
10390,23751,Bromoform,2.05 ppb,3.1 ppb,. Source,80 ppb,99103,"WILBUR, WA",Town of Wilbur,"Failure to monitor, Routine Major (Coliform bacteria)",2006/11/01 - 2006/11/30,914,Yes,No
10391,23796,Total haloacetic acids (HAAs),1.7 ppb,14.53 ppb,0.7 ppb,60 ppb,17072,"SHIPPENSBURG, PA",Shippensburg Boro Water Auth,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/09/29,15500,Yes,No
10392,23819,Total haloacetic acids (HAAs),1.23 ppb,2.5 ppb,0.7 ppb,60 ppb,17072,"SOUTHAMPTON TWP, PA",Southampton Manor Mhp,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/09/29,145,Yes,No
10393,23825,Total haloacetic acids (HAAs),5.58 ppb,9.4 ppb,0.7 ppb,60 ppb,32044,"RAIFORD, FL; STARKE, FL",Florida State Prison,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/02/01 - 2005/02/28,7500,Yes,No
10394,23837,Total trihalomethanes (TTHMs),59.2 ppb,109.15 ppb,9.8 ppb,80 ppb,36830,"OPELIKA, AL",Opelika Water Works Board,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/04/01 - 2005/06/30,30000,Yes,Yes
10395,24100,Total trihalomethanes (TTHMs),109.84 ppb,216 ppb,9.8 ppb,80 ppb,32965,"FELLSMERE, FL",City of Fellsmere,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/07/01 - 2005/09/30,4465,Yes,Yes
10396,24104,Bromoform,0.23 ppb,0.76 ppb,. Source,80 ppb,88421,"PECOS, NM",Pecos Water System,"Maximum contaminant level, Acute (Coliform bacteria)",2008/05/01 - 2008/05/31,2550,Yes,No
10397,24296,Dibromochloromethane,1.16 ppb,2.3 ppb,0.4 ppb,80 ppb,51648,"RIVERTON, IA",Riverton Water Works,"Failure to monitor, Routine Major (Coliform bacteria)",2006/09/01 - 2006/09/30,304,Yes,No
10398,24111,Gross beta particle activity (pCi/L),19.35 pCi/L,19.35 pCi/L,,15 pCi,88421,"RIBERA, NM",Ribera Mdwca,"Over maximum contaminant level, Average",2005/01/01 - 2005/06/30,200,Yes,Yes
10399,24114,Combined Uranium (mg/L),2.66 ppb,5.31 ppb,. Source,30 ppb,88421,"LAS VEGAS, NM",Tecolote Mdwca,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/05/01 - 2005/05/31,185,Yes,No
10400,24126,Combined Uranium (mg/L),10 ppb,10 ppb,. Source,30 ppb,88421,"RIBERA, NM",EL Coruco Mdwca,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,43,Yes,No
10401,24819,Nitrate,0.84 ppm,0.96 ppm,10 ppm,10 ppm,3602,"SWANZEY, NH",Monadnock Regional High School,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/01/01 - 2008/03/31,1500,No,No
10402,24823,Bromodichloromethane,<0.01 ppb,<0.01 ppb,. Source,80 ppb,3602,"HINSDALE, NH",Hinsdale Water Dept /Downtown,Inadequate reporting of information to the public,2006/07/01 - 2007/11/02,1080,Yes,No
10403,24854,Nitrate,0.22 ppm,1.04 ppm,10 ppm,10 ppm,3602,"STODDARD, NH",James Faulkner Memorial School,"Failure to monitor, Routine Major (Coliform bacteria)",2005/07/01 - 2005/09/30,75,No,No
10404,24825,Nitrate,1.07 ppm,2.6 ppm,10 ppm,10 ppm,3602,"LANGDON, NH",Fall Mountain Regional Hs,Optimal Corrosion Control Treatment Study Recommendation,2008/08/01 - 2008/11/26,850,No,No
10405,24826,Manganese,605 ppb,1190 ppb,50 ppb,50 ppb,3602,"WALPOLE, NH",N Walpole Village District/Low,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2008/03/03,800,Yes,Yes
10406,24831,Dichloromethane (methylene chloride),0.33 ppb,0.8 ppb,. Source,5 ppb,3602,"RINDGE, NH",Rindge Memorial School,Failure to monitor regularlyDichloromethane (methylene chloride),2007/04/01 - 2007/06/30,450,Yes,No
10407,24843,Manganese,411.15 ppb,468.4 ppb,50 ppb,50 ppb,3602,"WINCHESTER, NH",South Parrish Road Cooperative,Public Notification Violation for National Primary Drinking Water Regulations,2007/03/21 - 2007/04/17,158,Yes,Yes
10408,24860,Lead (total),1 ppb,1 ppb,. Source,,3602,"MARLOW, NH",John D Perkins SR Elem School,Follow-up and Routine Tap Sampling,2005/04/01 - 2005/08/02,60,Yes,No
10409,24868,Nitrate,0.31 ppm,0.82 ppm,10 ppm,10 ppm,3602,"SWANZEY, NH",Mvs Fulfillment Svs Inc,Public Notification Violation for National Primary Drinking Water Regulations,2008/03/03 - 2008/08/07,53,No,No
10410,24873,Alpha particle activity (excl radon and uranium),2 pCi/L,5 pCi/L,. Source,15 pCi,3602,"SURRY, NH",Surry Village Water Co,"Failure to monitor, Routine Major (Coliform bacteria)",2006/04/01 - 2006/04/30,50,Yes,No
10411,24876,Combined Uranium (mg/L),<0.01 ppb,<0.01 ppb,. Source,30 ppb,3602,"FITZWILLIAM, NH",Fitzwilliam Village /Prigge,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/08/15,43,Yes,No
10412,24877,Lead (total),11 ppb,11 ppb,. Source,,3602,"LANGDON, NH",Sarah Porter School,Public Education,2007/05/01 - 2007/06/27,43,Yes,No
10413,24878,Manganese,155.6 ppb,155.6 ppb,50 ppb,50 ppb,3602,"RINDGE, NH",Carriage Apts,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/08/15,43,Yes,Yes
10414,25404,Total haloacetic acids (HAAs),0.57 ppb,0.9 ppb,0.7 ppb,60 ppb,18854,"TOWANDA, PA",Towanda Municipal Authority,"Failure to monitor, Routine Major (Coliform bacteria)",2004/08/01 - 2004/08/31,5000,Yes,No
10415,25410,Radium-228,0.4 pCi/L,1.2 pCi/L,. Source,5 pCi,18854,"LERAYSVILLE, PA",Leraysville Water Company,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/09/29,360,Yes,No
10416,25411,Total haloacetic acids (HAAs),1.72 ppb,2.7 ppb,0.7 ppb,60 ppb,18854,"NEW ALBANY, PA",New Albany Water Fund,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/12/20,336,Yes,No
10417,25452,Total haloacetic acids (HAAs),2.34 ppb,10.8 ppb,0.7 ppb,60 ppb,46816,"WOODBURN, IN",Woodburn Water Works,"Failure to monitor, Routine Major (Coliform bacteria)",2006/04/01 - 2006/04/30,1671,Yes,No
10418,25460,Arsenic (total),0.5 ppb,1 ppb,. Source,10 ppb,46816,"WOODBURN, IN",Grayfox Public Water Supply,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2005/08/11,104,Yes,No
10419,25464,Total haloacetic acids (HAAs),1.41 ppb,1.41 ppb,0.7 ppb,60 ppb,35592,"VERNON, AL",Vernon Water Works,"Failure to monitor, Repeat Minor (Coliform bacteria)",2006/11/01 - 2006/11/30,4500,Yes,No
10420,25511,Nitrate & nitrite,0.77 ppm,0.83 ppm,10 ppm,10 ppm,88435,"ANTON CHICO, NM",Los Sisneros Mdwca,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/08/01 - 2005/08/31,270,No,No
10421,25513,Nitrate & nitrite,0.57 ppm,0.64 ppm,10 ppm,10 ppm,88435,"ANTON CHICO, NM",Sangre DE Cristo Mdwca (Upper Antonchico,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2008/01/17,175,No,No
10422,25516,Combined Uranium (mg/L),1.79 ppb,3.58 ppb,. Source,30 ppb,88435,"LA LOMA, NM",Upper Dilia Mdwca,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/08/19,42,Yes,No
10423,25539,Arsenic (total),17.9 ppb,20 ppb,. Source,10 ppb,48301,"WIXOM, MI",City of Wixom,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/09/30,9220,Yes,Yes
10424,25598,Arsenic (total),20.58 ppb,23 ppb,. Source,10 ppb,48301,"WOLVERINE LAKE, MI",Wolverine Lake Heights,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/12/01 - 2005/12/31,235,Yes,Yes
10425,25648,Nitrate,3.07 ppm,4.69 ppm,10 ppm,10 ppm,17401,"DELTA, PA",Delta Boro Water Sys,Failure to monitor regularlyNitrate,2004/01/01 - 2004/12/31,1230,No,No
10426,25670,Nitrate,4.14 ppm,6.98 ppm,10 ppm,10 ppm,17401,"MANCHESTER, PA",J & A Mhp,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/02/27,140,No,No
10427,25703,Combined Radium (-226 & -228),2.12 pCi/L,2.91 pCi/L,. Source,5 pCi,61238,"GREEN ROCK, IL",Colona West,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/07/20,2600,Yes,No
10428,25724,Radium-226,2 pCi/L,2 pCi/L,. Source,5 pCi,61238,"LYNN CENTER, IL","Lynn Water Association, Inc",Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/07/30,100,Yes,No
10429,25751,Bromoform,5.8 ppb,8 ppb,. Source,80 ppb,96733,"LANAI, HI; LANAI CITY, HI",Lanai City,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/02/01 - 2005/02/28,3000,Yes,No
10430,25756,Dichloroacetic acid,8.7 ppb,13.6 ppb,. Source,60 ppb,96733,"MAUNALOA, HI",Maunaloa-Kaluakoi,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2005/10/01 - 2005/12/31,1000,Yes,No
10431,25789,Arsenic (total),11.67 ppb,26 ppb,. Source,10 ppb,61554,"MORTON, IL",Morton,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/07/01 - 2005/07/31,17000,Yes,Yes
10432,25961,Chloroform,20.46 ppb,52 ppb,5.7 ppb,80 ppb,28016,"MT HOLLY, NC",City of Mount Holly,Failure to monitor regularlyDalapon,2008/01/01 - 2008/03/31,14437,Yes,No
10433,25812,Manganese,150 ppb,170 ppb,50 ppb,50 ppb,61554,"EAST PEORIA, IL",Valley View 4 and 6-Knolls,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/02/18 - 2005/05/06,230,Yes,Yes
10434,25804,Manganese,100 ppb,200 ppb,50 ppb,50 ppb,61554,"GREEN VALLEY, IL",Green Valley,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/06/01 - 2007/06/30,728,Yes,Yes
10435,25969,Total trihalomethanes (TTHMs),49.21 ppb,80 ppb,9.8 ppb,80 ppb,28016,"LOWELL, NC",City of Lowell,"Failure to monitor, Routine Minor (Coliform bacteria)",2004/01/01 - 2004/01/31,2665,Yes,No
10436,25810,Manganese,98 ppb,100 ppb,50 ppb,50 ppb,61554,"WASHINGTON, IL",Harvard Hills Water Corporation,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/08/01 - 2007/08/31,250,Yes,Yes
10437,25817,Arsenic (total),1.5 ppb,1.5 ppb,. Source,10 ppb,61554,"WASHINGTON, IL",Saddlebrook Estates Subdivision,"Failure to monitor, Routine Major (Coliform bacteria)",2004/07/01 - 2004/07/31,70,Yes,No
10438,25819,Manganese,86 ppb,86 ppb,50 ppb,50 ppb,61554,"WASHINGTON, IL",Prairie View Water Association,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,35,Yes,Yes
10439,25825,Lead (total),0.22 ppb,0.89 ppb,. Source,,65337,"GREEN RIDGE, MO",Green Ridge,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/08/01 - 2008/08/31,445,Yes,No
10440,25832,Lead (total),1.28 ppb,4.89 ppb,. Source,,65337,"SEDALIA, MO",Southern Hills Water Co,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/04/01 - 2005/04/30,144,Yes,No
10441,25835,Alpha particle activity,4.82 pCi/L,6.4 pCi/L,. Source,15 pCi,65337,"SEDALIA, MO",Lakewood Heights Subd,"Failure to monitor, Routine Major (Coliform bacteria)",2004/07/01 - 2004/07/31,75,Yes,No
10442,25962,Total trihalomethanes (TTHMs),58.85 ppb,100 ppb,9.8 ppb,80 ppb,28016,"BELMONT, NC",City of Belmont,Treatment Technique (Surface Water Treatment Rule),2005/03/01 - 2005/03/31,9153,Yes,Yes
10443,25973,Barium (total),5 ppb,10 ppb,700 ppb,2000 ppb,28016,"HIGH SHOALS, NC",City of High Shoals,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2005/10/01 - 2005/12/31,541,No,No
10444,25975,Copper,267.81 ppb,720 ppb,300 ppb,1000 ppb,28016,"GASTONIA, NC",Amy Acres S/D,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/04/26 - 2025/12/31,490,Yes,No
10445,25982,Combined Radium (-226 & -228),0.55 pCi/L,0.55 pCi/L,. Source,5 pCi,28016,"GASTONIA, NC",Raintree S/D,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2005/03/21 - 2025/12/31,348,Yes,No
10446,25993,Lead (total),3.06 ppb,6 ppb,. Source,,28016,"GASTONIA, NC",Chapel Acres Mhp,Failure to monitor regularlyNitrate,2008/07/01 - 2008/09/30,231,Yes,No
10447,25996,Arsenic (total),6.83 ppb,20 ppb,. Source,10 ppb,28016,"GASTONIA, NC",Walker Heights S/D,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/11/28 - 2025/12/31,229,Yes,Yes
10448,26030,Total haloacetic acids (HAAs),18.33 ppb,70 ppb,0.7 ppb,60 ppb,28016,"STANLEY, NC",Gloria Acres Mhp,Inadequate reporting of information to the public,2005/10/01 - 2005/11/08,127,Yes,Yes
10449,26045,Chloroform,3.67 ppb,10 ppb,5.7 ppb,80 ppb,28016,"GASTONIA, NC",Ragan Village Water Assoc,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/02/01,100,Yes,No
10450,26048,Tetrachloroethylene,0.63 ppb,2 ppb,. Source,5 ppb,28016,"STANLEY, NC",Ham`s Mhp NO 2,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/05/24 - 2025/12/31,99,Yes,No
10451,26059,Nitrate,5.12 ppm,9.5 ppm,10 ppm,10 ppm,28016,"GASTONIA, NC",Chapel Grove Mhp,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2006/06/30,86,No,No
10452,26060,Copper,452 ppb,644 ppb,300 ppb,1000 ppb,28016,"KINGS MTN, NC",Country Time Inn,Other Non-National Primary Drinking Water Regulations Potential Health Risks,2004/10/16 - 2025/12/31,86,Yes,No
10453,26080,Chloroform,0.4 ppb,2 ppb,5.7 ppb,80 ppb,28016,"KINGS MTN, NC",Laws Mhp,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2004/07/01 - 2004/09/30,67,No,No
10454,26137,Total haloacetic acids (HAAs),24.24 ppb,46 ppb,0.7 ppb,60 ppb,17769,"JERSEY SHORE, PA",Jersey Shore Area Jnt Wat Auth,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2007/10/01 - 2007/12/31,7200,Yes,No
10455,26185,Total trihalomethanes (TTHMs),<0.01 ppb,<0.01 ppb,9.8 ppb,80 ppb,3238,"CAMPTON, NH",Waterville Estate Vill Dist/W,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/08/19,1230,No,No
10456,26162,Arsenic (total),0.33 ppb,1 ppb,. Source,10 ppb,17769,"ROARING BRANCH, PA",Roaring Branch Waterworks,Failure to report information to the public or state agency in the Consumer Confidence Report,2004/07/01 - 2004/10/25,90,Yes,No
10457,26176,Manganese,242.5 ppb,255 ppb,50 ppb,50 ppb,3238,"PLYMOUTH, NH",Plymouth Vil Water and Sewer,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/08/01 - 2004/08/31,6300,Yes,Yes
10458,26178,Manganese,66.73 ppb,124.4 ppb,50 ppb,50 ppb,3238,"BRISTOL, NH",Bristol Water Works,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/07/01 - 2004/07/31,3327,Yes,Yes
10459,26180,Bromodichloromethane,0.68 ppb,2.1 ppb,. Source,80 ppb,3238,"LINCOLN, NH",Lincoln Water Works,"Over maximum contaminant level, AverageTotal haloacetic acids (HAAs)",2005/10/01 - 2005/12/31,2750,Yes,No
10460,26183,Alpha particle activity (excl radon and uranium),0.78 pCi/L,2.25 pCi/L,. Source,15 pCi,3238,"BETHLEHEM, NH",Bethlehem Village District,"Over maximum contaminant level, AverageTotal trihalomethanes (TTHMs)",2004/10/01 - 2004/12/31,1700,Yes,No
10461,26197,Combined Uranium (pCi/L),10.4 pCi/L,17.2 pCi/L,,15 pCi,3238,"FRANCONIA, NH",Mittersill Water Depart,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/07/30,475,No,No
10462,26193,Bromodichloromethane,0.57 ppb,1.7 ppb,. Source,80 ppb,3238,"HAVERHILL, NH",Precinct of Haverhill Corner,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/08/14,540,Yes,No
10463,26194,Bromodichloromethane,0.3 ppb,0.6 ppb,. Source,80 ppb,3238,"CANAAN, NH",Mascoma Valley Reg High School,Public Notification Violation for National Primary Drinking Water Regulations,2008/02/19 - 2025/12/31,530,Yes,No
10464,26201,Alpha particle activity (excl radon and uranium),1.85 pCi/L,2.7 pCi/L,. Source,15 pCi,3238,"CANAAN, NH",Cardigan Mountain School,Failure to report information to the public or state agency in the Consumer Confidence Report,2006/07/01 - 2006/08/08,300,Yes,No
10465,26207,Barium (total),34.5 ppb,37 ppb,700 ppb,2000 ppb,3238,"ENFIELD, NH",Lower Shaker Village,"Maximum contaminant level, Monthly (Coliform bacteria)",2006/06/01 - 2006/06/30,263,No,No
10466,26223,Manganese,67.35 ppb,89 ppb,50 ppb,50 ppb,3238,"BRIDGEWATER, NH",Whittemore Shores,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/07/01 - 2008/07/31,130,Yes,Yes
10467,26225,Manganese,109.25 ppb,189.4 ppb,50 ppb,50 ppb,3238,"LEBANON, NH",Lebruns Mobile Home Park,Monitoring and Reporting Disinfection Byproduct RuleChlorine,2008/10/01 - 2009/01/01,125,Yes,Yes
10468,26231,Bromodichloromethane,2.05 ppb,4.1 ppb,. Source,80 ppb,3238,"BATH, NH",Bath Village Water Works,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/02/01 - 2007/02/28,95,Yes,No
10469,26242,Alpha particle activity (excl radon and uranium),1 pCi/L,1 pCi/L,. Source,15 pCi,3238,"CAMPTON, NH",Beebe River,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/05/01 - 2008/05/31,63,Yes,No
10470,26246,Barium (total),15.4 ppb,16.5 ppb,700 ppb,2000 ppb,3238,"CAMPTON, NH",Chesleys Mobile Home Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/06/01 - 2004/06/30,60,No,No
10471,26248,Alpha particle activity (excl radon and uranium),4.33 pCi/L,5.9 pCi/L,. Source,15 pCi,3238,"THORNTON, NH",Mountain River Condos West,Failure to report information to the public or state agency in the Consumer Confidence Report,2005/07/01 - 2005/09/08,60,Yes,No
10472,26280,Alpha particle activity (excl radon and uranium),3.38 pCi/L,5 pCi/L,. Source,15 pCi,3238,"CAMPTON, NH",Valley View Condominiums,"Failure to monitor, Routine Major (Coliform bacteria)",2004/01/01 - 2004/03/31,25,Yes,No
10473,26547,Dichloroacetic acid,1 ppb,2 ppb,. Source,60 ppb,52236,"PARNELL, IA",Parnell Water Supply,"Failure to monitor, Routine Major (Coliform bacteria)",2007/03/01 - 2007/03/31,220,Yes,No
10474,26553,Combined Radium (-226 & -228),0.7 pCi/L,0.7 pCi/L,. Source,5 pCi,52236,"MARENGO, ; MARENGO, IA",Iowa Valley Estates,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/02/01 - 2005/02/28,85,Yes,No
10475,26678,Combined Uranium (mg/L),2 ppb,2 ppb,. Source,30 ppb,7403,"WEST MILFORD TWP, NJ; WEST MILFORD TWP.-1615, NJ",West Milford Twp Mua Cresent,Failure to monitor regularlyNitrate,2004/01/01 - 2004/12/31,585,Yes,No
10476,26681,Combined Uranium (mg/L),2 ppb,2 ppb,. Source,30 ppb,7403,"NORTH HALEDON BORO-1606, NJ",Holland Christian Home,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2008/01/10,240,Yes,No
10477,26755,Manganese,24 ppb,60 ppb,50 ppb,50 ppb,98383,"BREMERTON, WA",North Perry Ave Water District,"Failure to monitor, Routine Major (Coliform bacteria)",2005/07/01 - 2005/07/31,15890,Yes,Yes
10478,26805,Chloroform,3.77 ppb,10.3 ppb,5.7 ppb,80 ppb,98383,"POULSBO, WA",Viewside Community,Failure to report information to the public or state agency in the Consumer Confidence Report,2008/07/01 - 2008/09/05,155,Yes,No
10479,26777,Bromodichloromethane,0.32 ppb,0.64 ppb,. Source,80 ppb,98383,"BAINBRIDGE ISLAND, WA",Meadowmeer,"Maximum contaminant level, Monthly (Coliform bacteria)",2004/09/01 - 2004/09/30,811,Yes,No
10480,26781,Manganese,340 ppb,450 ppb,50 ppb,50 ppb,98383,"SILVERDALE, WA",Whidbey West Water Systems,Failure to report information to the public or state agency in the Consumer Confidence Report,2007/07/01 - 2007/09/04,415,Yes,Yes
10481,26787,Lead (total),3.94 ppb,10.5 ppb,. Source,,98383,"POULSBO, WA",Cedar Glen Mobile Home Park,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/10/01 - 2005/10/31,245,Yes,No
10482,26792,Lead (total),1 ppb,1 ppb,. Source,,98383,"PORT ORCHARD, WA",Sandy Hook Park Community Club,Failure to monitor regularlyNitrate,2007/01/01 - 2007/12/31,210,Yes,No
10483,26796,Nitrate & nitrite,0.07 ppm,0.2 ppm,10 ppm,10 ppm,98383,"SEABECK, WA",Priddy Vista,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/11/01 - 2008/11/30,200,No,No
10484,26798,Lead (total),3.4 ppb,3.4 ppb,. Source,,98383,"PORT ORCHARD, WA",Kitsap West Mhc Water Co,"Maximum contaminant level, Monthly (Coliform bacteria)",2007/06/01 - 2007/06/30,190,Yes,No
10485,26809,Lead (total),0.33 ppb,1.33 ppb,. Source,,98383,"POULSBO, WA",Bridletree,"Maximum contaminant level, Acute (Coliform bacteria)",2008/09/01 - 2008/09/30,147,Yes,No
10486,26813,Lead (total),1.2 ppb,1.2 ppb,. Source,,98383,"PORT ORCHARD, WA",Martell Mobile Manor,"Maximum contaminant level, Monthly (Coliform bacteria)",2008/12/01 - 2008/12/31,143,Yes,No
10487,26817,Lead (total),9.38 ppb,32 ppb,. Source,,98383,"POULSBO, WA",Surfrest Park Water Company,Follow-up and Routine Tap Sampling,2006/01/01 - 2005/12/31,125,Yes,No
10488,26821,Nitrate & nitrite,1.3 ppm,1.4 ppm,10 ppm,10 ppm,98383,"GIG HARBOR, WA",Royalwood,"Maximum contaminant level, Monthly (Coliform bacteria)",2005/05/01 - 2005/05/31,109,No,No
10489,26889,Dibromochloromethane,0.32 ppb,0.7 ppb,0.4 ppb,80 ppb,98383,"SILVERDALE, WA",Olalla Housing,Failure to monitor regularlyNitrate,2004/01/01 - 2004/12/31,42,Yes,No
